,title,link,view,upload_date
0,230812 Playing with Fire (in the rain!) Blackpink Born Pink Encore Metlife Stadium Day 2 Fancam,https://youtube.com/watch?v=l4SDonLSPAQ&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,10만회,1일 전
1,BLACKPINK - ‘Pretty Savage’ Live at Coachella 2023,https://youtube.com/watch?v=VLpUsmBafMQ&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,2320만회,1개월 전
2,"[속보] 블랙핑크 미국 뉴저지 앙코르 콘서트 10만명 울부짖자 벌어진 3가지 사건, ""와 이젠 중년 남성들까지...""",https://youtube.com/watch?v=blKxIywBQNo&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,4.5만회,1일 전
3,"블랙핑크, 등장만으로 8만 프랑스 관객들을 격랑속으로 빠뜨려 버리는 클라스 [BLACKPINK PARIS ENCORE] Pink Venom",https://youtube.com/watch?v=Jkl8jQGCkq4&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,13만회,4주 전
4,❤️‍🔥인간관계에 위로가 될 노래 : 블랙핑크(blackpink) - STAY [가사해석/번역/자막],https://youtube.com/watch?v=S5hVVTG_DjY&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,20만회,2주 전
5,230812 Pink Venom Blackpink Born Pink Encore Metlife Stadium Day 2 Fancam Performance Live Concert,https://youtube.com/watch?v=pa8FQnZZODc&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,4.2만회,1일 전
6,"블랙핑크 '지수', 미소 천사 '인형 미모' (출국)✈️BLACKPINK 'JISOO' Airport Departure 23.8.10 #Newsen",https://youtube.com/watch?v=ZDDuyQ1ye7M&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,4.8만회,4일 전
7,"[속보] ""프랑스 파리 3번이나 뒤집어졌다"" 블랙핑크 파리 앙코르 실황",https://youtube.com/watch?v=aSKJpHUf3lg&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,26만회,4주 전
8,"블랙핑크 BST 무대가 난리난 이유 + 휴 그랜트가 놀란 이유, 사브리나 카펜터",https://youtube.com/watch?v=slU8mDJWknU&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,13만회,1개월 전
9,"블랙핑크, 폭우 속에서 열린 월드투어 메트라이프에서 K-POP 신기록 달성",https://youtube.com/watch?v=ioby7Dgi-zU&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,4천회,1일 전
