,랭킹,책 제목,작가,출판사,출판일,선호도,댓글 수
0,1,디케의 눈물,조국,다산북스,2023.08.30,9.58,165
1,2,도시와 그 불확실한 벽,무라카미 하루키,문학동네,2023.09.06,9.39,230
2,3,일론 머스크,월터 아이작슨,21세기북스,2023.09.13,9.52,118
3,4,퓨처 셀프,벤저민 하디,상상스퀘어,2023.08.30,9.83,34
4,5,흔한남매 14,흔한남매,미래엔아이세움,2023.09.21,10,18
5,6,보그(2023년 10월호)(E형),두산매거진 편집부,두산매거진,2023.10.01,0.0,0
6,7,세이노의 가르침,세이노(SayNo),데이원,2023.03.02,9.25,2
7,8,하루 하나 브랜딩,조연심,힘찬북스,2023.08.16,9.02,38
8,9,보그(2023년 10월호)(D형),두산매거진 편집부,두산매거진,2023.10.01,0.0,0
9,10,가짜 노동,데니스 뇌르마르크 외,자음과모음,2022.08.08,9.76,55
10,11,트렌드 코리아 2024,김난도 외,미래의창,2023.10.05,9.5,9
11,12,도둑맞은 집중력,요한 하리,어크로스,2023.04.28,9.42,514
12,13,보그(2023년 10월호)(C형),두산매거진 편집부,두산매거진,2023.10.01,0.0,0
13,14,The Scent of PAGE : 룸스프레이 60ml,교보문고,교보문고,2020.03.19,9.7,542
14,15,1%를 읽는 힘,메르,토네이도,2023.08.30,9.38,186
15,16,보그(2023년 10월호)(B형),두산매거진 편집부,두산매거진,2023.10.01,0.0,0
16,17,명화로 보는 오디세이아(리커버에디션),호메로스,미래타임즈,2023.08.25,10,14
17,18,유리 멘탈이지만 절대 깨지지 않아,기무라 코노미,밀리언서재,2023.09.17,10,2
18,19,이런 삶이 꼰대라면 나는 그냥 꼰대할래요,임현서,마인드셋,2023.08.30,10,1
19,20,기대 [미니 2집] [NOTE VER],D.O.(디오),KAKAO ENTERTAINMENT,2023.09.18,0.0,0
20,21,퓨처 셀프,벤저민 하디 외,상상스퀘어,2023.08.30(종이책 2023년 08월 30일),10,6
21,22,속마음 들키지 않고 할 말 다 하는 심리 대화술,이노우에 도모스케,밀리언서재,2023.08.17,9.67,106
22,23,"푸바오, 매일매일 행복해",에버랜드 동물원,시공주니어,2023.09.08,9.33,13
23,24,역행자(확장판),자청,웅진지식하우스,2023.05.29,9.32,452
24,25,원피스 106: 천재의 꿈,Eiichiro Oda,대원씨아이,2023.09.25,10,3
25,26,하버드 100년 전통 자산관리 수업,무천강,리드리드출판,2023.09.26,10,3
26,27,눈에 갇힌 외딴 산장에서,히가시노 게이고,재인,2023.07.18,9.32,217
27,28,동물 오케스트라,샘 태플린,어스본코리아,2020.02.25,9.53,47
28,29,동물 농장 사운드북,샘 태플린,어스본코리아,2018.04.11,9.51,226
29,30,시끌벅적 정글 사운드북,샘 태플린,어스본코리아,2017.03.01,9.71,256
30,31,흔한남매 이상한 나라의 고전 읽기 4,최재훈,미래엔아이세움,2023.09.14,10,18
31,32,타키 포오 얼렁뚱땅 상식스쿨 1,캐릭온TV,대원키즈,2023.09.12,0.0,0
32,33,The Scent of PAGE: 디퓨저 100ml,교보문고,교보문고,2023.04.27,9.74,77
33,34,도시와 그 불확실한 벽,무라카미 하루키 외,문학동네,2023.09.06(종이책 2023년 09월 06일),10,49
34,35,돈의 속성(300쇄 리커버에디션),김승호,스노우폭스북스,2020.06.15,9.62,1
35,36,네 안에 잠든 거인을 깨워라(30주년 기념판),토니 로빈스(앤서니 라빈스),넥서스BIZ,2023.09.15,9.66,25
36,37,문과 남자의 과학 공부,유시민,돌베개,2023.06.23,9.41,767
